price,price_per_meter,elevator,parking,storage,location_encoded,floor_number,area
2200000000,14666000,1.0,1.0,1.0,17,14.0,150.0
21900000000,185593000,1.0,1.0,1.0,53,2.0,118.0
5800000000,65168000,1.0,1.0,1.0,124,5.0,89.0
28500000000,123913000,1.0,1.0,1.0,67,4.0,230.0
13200000000,134693000,1.0,1.0,1.0,36,3.0,98.0
11750000000,121134000,1.0,1.0,1.0,64,2.0,97.0
53000000000,212000000,1.0,1.0,1.0,37,3.0,250.0
9000000000,120000000,0.0,1.0,1.0,125,2.0,75.0
4350000000,51176000,1.0,1.0,0.0,126,5.0,85.0
3744000000,70641000,1.0,0.0,1.0,127,4.0,53.0
4960000000,80000000,0.0,0.0,1.0,9,3.0,62.0
7000000000,93333000,1.0,1.0,1.0,9,1.0,75.0
12600000000,100000000,1.0,1.0,1.0,128,4.0,126.0
57000000000,151595000,1.0,1.0,1.0,70,3.0,376.0
7400000000,105714000,1.0,0.0,0.0,19,2.0,70.0
6000000000,100000000,1.0,1.0,1.0,38,4.0,60.0
19000000000,190000000,1.0,1.0,1.0,70,1.0,100.0
2800000000,56000000,1.0,0.0,0.0,129,0.0,50.0
12000000000,141176000,0.0,1.0,1.0,78,2.0,85.0
11200000000,108737000,1.0,1.0,1.0,64,3.0,103.0
49500000000,270491000,1.0,1.0,1.0,77,4.0,183.0
41000000000,341666000,1.0,1.0,1.0,78,4.0,120.0
6600000000,88000000,0.0,1.0,1.0,5,4.0,75.0
16450000000,149545000,1.0,1.0,1.0,8,2.0,110.0
13000000000,130000000,1.0,1.0,1.0,102,1.0,100.0
18980000000,121666000,1.0,1.0,1.0,131,2.0,156.0
3650000000,62931000,1.0,0.0,1.0,24,2.0,58.0
23200000000,139759000,0.0,1.0,1.0,78,2.0,166.0
11200000000,141772000,1.0,1.0,1.0,8,4.0,79.0
28200000000,201428000,1.0,1.0,1.0,78,3.0,140.0
19800000000000,165000000000,1.0,1.0,1.0,67,5.0,120.0
2750000000,49107000,0.0,1.0,1.0,132,3.0,56.0
17500000000,175000000,1.0,1.0,1.0,125,2.0,100.0
9400000000,104444000,1.0,1.0,1.0,80,2.0,90.0
7500000000,150000000,1.0,1.0,1.0,90,2.0,50.0
18000000000,133333000,0.0,1.0,1.0,133,1.0,135.0
6300000000,35000000,1.0,1.0,1.0,109,16.0,180.0
12200000000,124489000,1.0,1.0,1.0,9,3.0,98.0
4700000000,85454000,0.0,1.0,1.0,6,4.0,55.0
5000000000,71428000,0.0,0.0,1.0,134,4.0,70.0
3950000000,79000000,1.0,0.0,1.0,24,3.0,50.0
1880000000,30322000,1.0,0.0,1.0,29,2.0,62.0
39500000000,246875000,1.0,1.0,1.0,135,6.0,160.0
2750000000,55000000,0.0,0.0,1.0,108,1.0,50.0
74000000000,422857000,1.0,1.0,1.0,135,4.0,175.0
25000000000,172413000,1.0,1.0,1.0,35,3.0,145.0
23800000000,178947000,1.0,1.0,1.0,136,2.0,133.0
15700000000,142727000,1.0,1.0,1.0,35,1.0,110.0
11000000000,200000000,1.0,1.0,1.0,78,2.0,55.0
11600000000,89230000,0.0,0.0,1.0,106,0.0,130.0
5500000000,122222000,1.0,1.0,1.0,1,2.0,45.0
4800000000,70588000,0.0,0.0,1.0,58,2.0,68.0
8300000000,68032000,1.0,1.0,1.0,137,4.0,122.0
960000000,8000000,1.0,1.0,1.0,17,12.0,120.0
16350000000,139743000,0.0,1.0,1.0,138,1.0,117.0
64000000000,278260000,1.0,1.0,1.0,138,3.0,230.0
17500000000,250000000,1.0,1.0,1.0,130,1.0,70.0
10600000000,100952000,1.0,1.0,1.0,25,3.0,105.0
3300000000,57894000,1.0,1.0,1.0,139,4.0,57.0
11970000000,90000000,1.0,1.0,1.0,63,7.0,133.0
13500000000,122727000,1.0,1.0,0.0,140,3.0,110.0
